name,kt,ktilde,kv
weight_CPfloat_1,0,0,1
weight_CPfloat_2,0,1,0
weight_CPfloat_3,0,1,1
weight_CPfloat_4,1,0,0
weight_CPfloat_5,1,0,1
weight_CPfloat_6,1,1,0
weight_CPfloat_7,1,1,1
weight_CPfloat_8,-1,0,1
weight_CPfloat_9,-1,0,0
weight_CPgrid_1,2.7,-0.8717797887081348,0.5
weight_CPgrid_2,2.7,-0.8717797887081348,1
weight_CPgrid_3,2.7,-0.8717797887081348,1.5
weight_CPgrid_4,2.4000000000000004,-1.2,0.5
weight_CPgrid_5,2.4000000000000004,-1.2,1
weight_CPgrid_6,2.4000000000000004,-1.2,1.5
weight_CPgrid_7,2.0999999999999996,-1.4282856857085704,0.5
weight_CPgrid_8,2.0999999999999996,-1.4282856857085704,1
weight_CPgrid_9,2.0999999999999996,-1.4282856857085704,1.5
weight_CPgrid_10,1.7999999999999998,-1.6000000000000003,0.5
weight_CPgrid_11,1.7999999999999998,-1.6000000000000003,1
weight_CPgrid_12,1.7999999999999998,-1.6000000000000003,1.5
weight_CPgrid_13,1.5,-1.732050807568877,0.5
weight_CPgrid_14,1.5,-1.732050807568877,1
weight_CPgrid_15,1.5,-1.732050807568877,1.5
weight_CPgrid_16,1.2000000000000002,-1.833030277982336,0.5
weight_CPgrid_17,1.2000000000000002,-1.833030277982336,1
weight_CPgrid_18,1.2000000000000002,-1.833030277982336,1.5
weight_CPgrid_19,0.8999999999999999,-1.9078784028338913,0.5
weight_CPgrid_20,0.8999999999999999,-1.9078784028338913,1
weight_CPgrid_21,0.8999999999999999,-1.9078784028338913,1.5
weight_CPgrid_22,0.6000000000000001,-1.9595917942265424,0.5
weight_CPgrid_23,0.6000000000000001,-1.9595917942265424,1
weight_CPgrid_24,0.6000000000000001,-1.9595917942265424,1.5
weight_CPgrid_25,0.30000000000000004,-1.98997487421324,0.5
weight_CPgrid_26,0.30000000000000004,-1.98997487421324,1
weight_CPgrid_27,0.30000000000000004,-1.98997487421324,1.5
weight_CPgrid_28,0.00030000000000000003,-1.99999999,0.5
weight_CPgrid_29,0.00030000000000000003,-1.99999999,1
weight_CPgrid_30,0.00030000000000000003,-1.99999999,1.5
weight_CPgrid_31,-0.30000000000000004,-1.98997487421324,0.5
weight_CPgrid_32,-0.30000000000000004,-1.98997487421324,1
weight_CPgrid_33,-0.30000000000000004,-1.98997487421324,1.5
weight_CPgrid_34,-0.6000000000000001,-1.9595917942265426,0.5
weight_CPgrid_35,-0.6000000000000001,-1.9595917942265426,1
weight_CPgrid_36,-0.6000000000000001,-1.9595917942265426,1.5
weight_CPgrid_37,-0.8999999999999999,-1.9078784028338913,0.5
weight_CPgrid_38,-0.8999999999999999,-1.9078784028338913,1
weight_CPgrid_39,-0.8999999999999999,-1.9078784028338913,1.5
weight_CPgrid_40,-1.2000000000000002,-1.833030277982336,0.5
weight_CPgrid_41,-1.2000000000000002,-1.833030277982336,1
weight_CPgrid_42,-1.2000000000000002,-1.833030277982336,1.5
weight_CPgrid_43,-1.5,-1.7320508075688774,0.5
weight_CPgrid_44,-1.5,-1.7320508075688774,1
weight_CPgrid_45,-1.5,-1.7320508075688774,1.5
weight_CPgrid_46,-1.7999999999999998,-1.6,0.5
weight_CPgrid_47,-1.7999999999999998,-1.6,1
weight_CPgrid_48,-1.7999999999999998,-1.6,1.5
weight_CPgrid_49,-2.0999999999999996,-1.42828568570857,0.5
weight_CPgrid_50,-2.0999999999999996,-1.42828568570857,1
weight_CPgrid_51,-2.0999999999999996,-1.42828568570857,1.5
weight_CPgrid_52,-2.4000000000000004,-1.1999999999999997,0.5
weight_CPgrid_53,-2.4000000000000004,-1.1999999999999997,1
weight_CPgrid_54,-2.4000000000000004,-1.1999999999999997,1.5
weight_CPgrid_55,-2.7,-0.8717797887081346,0.5
weight_CPgrid_56,-2.7,-0.8717797887081346,1
weight_CPgrid_57,-2.7,-0.8717797887081346,1.5
weight_CPgrid_58,-3.0,-0.0,0.5
weight_CPgrid_59,-3.0,-0.0,1
weight_CPgrid_60,-3.0,-0.0,1.5
weight_CPgrid_61,2.1,-0.6780509467729937,0.5
weight_CPgrid_62,2.1,-0.6780509467729937,1
weight_CPgrid_63,2.1,-0.6780509467729937,1.5
weight_CPgrid_64,1.866666666666667,-0.9333333333333333,0.5
weight_CPgrid_65,1.866666666666667,-0.9333333333333333,1
weight_CPgrid_66,1.866666666666667,-0.9333333333333333,1.5
weight_CPgrid_67,1.6333333333333333,-1.1108888666622214,0.5
weight_CPgrid_68,1.6333333333333333,-1.1108888666622214,1
weight_CPgrid_69,1.6333333333333333,-1.1108888666622214,1.5
weight_CPgrid_70,1.4000000000000001,-1.2444444444444447,0.5
weight_CPgrid_71,1.4000000000000001,-1.2444444444444447,1
weight_CPgrid_72,1.4000000000000001,-1.2444444444444447,1.5
weight_CPgrid_73,1.1666666666666667,-1.3471506281091266,0.5
weight_CPgrid_74,1.1666666666666667,-1.3471506281091266,1
weight_CPgrid_75,1.1666666666666667,-1.3471506281091266,1.5
weight_CPgrid_76,0.9333333333333335,-1.4256902162084835,0.5
weight_CPgrid_77,0.9333333333333335,-1.4256902162084835,1
weight_CPgrid_78,0.9333333333333335,-1.4256902162084835,1.5
weight_CPgrid_79,0.7000000000000001,-1.4839054244263599,0.5
weight_CPgrid_80,0.7000000000000001,-1.4839054244263599,1
weight_CPgrid_81,0.7000000000000001,-1.4839054244263599,1.5
weight_CPgrid_82,0.46666666666666673,-1.5241269510650886,0.5
weight_CPgrid_83,0.46666666666666673,-1.5241269510650886,1
weight_CPgrid_84,0.46666666666666673,-1.5241269510650886,1.5
weight_CPgrid_85,0.23333333333333336,-1.5477582354991866,0.5
weight_CPgrid_86,0.23333333333333336,-1.5477582354991866,1
weight_CPgrid_87,0.23333333333333336,-1.5477582354991866,1.5
weight_CPgrid_88,0.00023333333333333336,-1.5555555477777778,0.5
weight_CPgrid_89,0.00023333333333333336,-1.5555555477777778,1
weight_CPgrid_90,0.00023333333333333336,-1.5555555477777778,1.5
weight_CPgrid_91,-0.23333333333333336,-1.5477582354991866,0.5
weight_CPgrid_92,-0.23333333333333336,-1.5477582354991866,1
weight_CPgrid_93,-0.23333333333333336,-1.5477582354991866,1.5
weight_CPgrid_94,-0.46666666666666673,-1.5241269510650888,0.5
weight_CPgrid_95,-0.46666666666666673,-1.5241269510650888,1
weight_CPgrid_96,-0.46666666666666673,-1.5241269510650888,1.5
weight_CPgrid_97,-0.7000000000000001,-1.4839054244263599,0.5
weight_CPgrid_98,-0.7000000000000001,-1.4839054244263599,1
weight_CPgrid_99,-0.7000000000000001,-1.4839054244263599,1.5
weight_CPgrid_100,-0.9333333333333335,-1.4256902162084835,0.5
weight_CPgrid_101,-0.9333333333333335,-1.4256902162084835,1
weight_CPgrid_102,-0.9333333333333335,-1.4256902162084835,1.5
